damping ratio,Hysteretic curve type,"Hysteretic parameter, tao",Typical story height (m)
0.05,Pinching,0.4,3.6576000000000004
No. of story,Floor mass (kg),Elastic shear stiffness (N/m),Design shear force (N),Design displacement (m),Yield shear force (N),Yield displacement (m),Ultimate shear force (N),Ultimage displacement (m),Complete damage displacement (m)
1,1200000,663737405.343388,2769260.912751282,0.004172223669266599,5316980.952482463,0.008010669444991871,10633961.904964926,0.09612803333990247,0.219456
2,1200000,663737405.343388,2307717.4272927353,0.0034768530577221663,4430817.460402053,0.0066755578708265605,8861634.920804106,0.08010669444991873,0.219456
3,1200000,663737405.343388,1384630.456375641,0.0020861118346332994,2658490.4762412314,0.004005334722495936,5316980.952482463,0.048064016669951234,0.219456
